Node: 0, 0 8 5 172, 99, 79
-Node: 0, 0 3 5 237, 28, 36
-Node: 3, 0 2 5 115, 147, 89
--Node: 3, 0 2 2 127, 127, 127
--Node: 3, 2 2 1 255, 127, 39
--Node: 3, 3 2 2 34, 177, 76
-Node: 5, 0 3 5 147, 140, 117
--Node: 5, 0 3 2 85, 139, 162
---Node: 5, 0 1 2 255, 255, 255
---Node: 6, 0 1 2 0, 0, 0
---Node: 7, 0 1 2 0, 162, 232
--Node: 5, 2 3 1 249, 148, 79
---Node: 5, 2 1 1 237, 28, 36
---Node: 6, 2 1 1 255, 242, 0
---Node: 7, 2 1 1 255, 174, 201
--Node: 5, 3 3 2 160, 138, 91
---Node: 5, 3 1 2 209, 137, 89
----Node: 5, 3 1 1 163, 73, 164
----Node: 5, 4 1 1 255, 201, 14
---Node: 6, 3 1 2 17, 88, 38
----Node: 6, 3 1 1 34, 177, 76
----Node: 6, 4 1 1 0, 0, 0
---Node: 7, 3 1 2 255, 191, 147
----Node: 7, 3 1 1 255, 255, 255
----Node: 7, 4 1 1 255, 127, 39
